"id","latitude","longitude","time","type_crime"
3760,37.866,-122.259,1461169500,"ASSAULT/BATTERY MISD."
3761,37.8562,-122.26,1461219600,"ASSAULT/BATTERY MISD."
3762,37.8703,-122.268,1461280200,"ASSAULT/BATTERY MISD."
3763,37.8688,-122.273,1461360600,"ASSAULT/BATTERY MISD."
3764,37.873,-122.275,1461427200,"ASSAULT/BATTERY FEL."
3765,37.8631,-122.26,1461434280,"ASSAULT/BATTERY MISD."
3766,37.86,-122.269,1461537120,"ASSAULT/BATTERY MISD."
3767,37.8487,-122.272,1461635100,"ASSAULT/BATTERY MISD."
3768,37.8736,-122.269,1461636900,"ASSAULT/BATTERY MISD."
3769,37.8805,-122.296,1461638400,"ASSAULT/BATTERY MISD."
3770,37.8695,-122.287,1461716400,"ASSAULT/BATTERY MISD."
3771,37.8769,-122.289,1461876000,"ASSAULT/BATTERY MISD."
3772,37.8714,-122.284,1462215000,"ASSAULT/BATTERY MISD."
3773,37.8721,-122.268,1462289400,"ASSAULT/BATTERY MISD."
3774,37.8713,-122.275,1462302300,"ASSAULT/BATTERY FEL."
3775,37.8769,-122.289,1462307400,"ASSAULT/BATTERY MISD."
3776,37.8672,-122.263,1462373100,"ASSAULT/BATTERY MISD."
3777,37.8694,-122.268,1462521300,"ASSAULT/BATTERY FEL."
3778,37.8685,-122.268,1462636860,"ASSAULT/BATTERY FEL."
3779,37.8618,-122.254,1462719360,"ASSAULT/BATTERY MISD."
3780,37.8588,-122.279,1462996800,"ASSAULT/BATTERY MISD."
3781,37.8784,-122.269,1463062500,"ASSAULT/BATTERY MISD."
3782,37.8941,-122.254,1463076000,"ASSAULT/BATTERY FEL."
3783,37.8664,-122.27,1463086620,"ASSAULT/BATTERY MISD."
3784,37.8694,-122.248,1463101200,"ASSAULT/BATTERY MISD."
3785,37.8582,-122.269,1463117700,"ASSAULT/BATTERY MISD."
3786,37.8553,-122.277,1463192820,"ASSAULT/BATTERY MISD."
3787,37.8644,-122.259,1463326200,"ASSAULT/BATTERY MISD."
3788,37.8535,-122.292,1463452080,"ASSAULT/BATTERY MISD."
3789,37.8575,-122.282,1463457420,"ASSAULT/BATTERY MISD."
3790,37.8806,-122.305,1463465940,"ASSAULT/BATTERY MISD."
3791,37.8556,-122.283,1463508480,"ASSAULT/BATTERY FEL."
3792,37.8713,-122.282,1463551500,"ASSAULT/BATTERY MISD."
3793,37.859,-122.276,1463583600,"ASSAULT/BATTERY FEL."
3794,37.8694,-122.268,1463615460,"ASSAULT/BATTERY MISD."
3795,37.8736,-122.269,1463661000,"ASSAULT/BATTERY FEL."
3796,37.8666,-122.274,1463670000,"ASSAULT/BATTERY MISD."
3797,37.8727,-122.271,1463679540,"ASSAULT/BATTERY MISD."
3798,37.8725,-122.273,1463679600,"ASSAULT/BATTERY MISD."
3799,37.8736,-122.269,1463723100,"ASSAULT/BATTERY FEL."
3800,37.8671,-122.268,1463756400,"ASSAULT/BATTERY MISD."
3801,37.8573,-122.269,1463762400,"ASSAULT/BATTERY MISD."
3802,37.8695,-122.29,1463781300,"ASSAULT/BATTERY MISD."
3803,37.871,-122.296,1463783400,"ASSAULT/BATTERY MISD."
3804,37.8705,-122.287,1463858340,"ASSAULT/BATTERY MISD."
3805,37.8713,-122.275,1464050700,"ASSAULT/BATTERY MISD."
3806,37.8688,-122.273,1464107160,"ASSAULT/BATTERY MISD."
3807,37.8541,-122.268,1464213600,"ASSAULT/BATTERY MISD."
3808,37.8482,-122.276,1464216300,"ASSAULT/BATTERY MISD."
3809,37.8711,-122.268,1464289020,"ASSAULT/BATTERY MISD."
3810,37.8575,-122.282,1464301800,"ASSAULT/BATTERY MISD."
3811,37.8524,-122.279,1464310800,"ASSAULT/BATTERY MISD."
3812,37.8655,-122.296,1464382800,"ASSAULT/BATTERY MISD."
3813,37.8521,-122.274,1464407040,"ASSAULT/BATTERY MISD."
3814,37.8774,-122.301,1464415740,"ASSAULT/BATTERY MISD."
3815,37.8537,-122.253,1464459300,"ASSAULT/BATTERY FEL."
3816,37.8691,-122.292,1464459480,"ASSAULT/BATTERY MISD."
3817,37.8537,-122.253,1464459600,"ASSAULT/BATTERY MISD."
3818,37.8558,-122.28,1464479160,"ASSAULT/BATTERY MISD."
3819,37.8709,-122.277,1464504540,"ASSAULT/BATTERY MISD."
3820,37.8734,-122.273,1464542340,"ASSAULT/BATTERY MISD."
3821,37.8509,-122.283,1464570000,"ASSAULT/BATTERY MISD."
3822,37.8709,-122.268,1464648900,"ASSAULT/BATTERY MISD."
3823,37.856,-122.271,1464807600,"ASSAULT/BATTERY MISD."
3824,37.8694,-122.289,1464808200,"ASSAULT/BATTERY MISD."
3825,37.869,-122.292,1464812160,"ASSAULT/BATTERY MISD."
3826,37.9019,-122.271,1464838260,"ASSAULT/BATTERY MISD."
3827,37.8643,-122.265,1464839400,"ASSAULT/BATTERY MISD."
3828,37.8548,-122.269,1464846000,"ASSAULT/BATTERY FEL."
3829,37.8582,-122.268,1464881340,"ASSAULT/BATTERY MISD."
3830,37.869,-122.292,1464890400,"ASSAULT/BATTERY MISD."
3831,37.8588,-122.279,1464975600,"ASSAULT/BATTERY FEL."
3832,37.862,-122.317,1465088100,"ASSAULT/BATTERY FEL."
3833,37.855,-122.266,1465157700,"ASSAULT/BATTERY MISD."
3834,37.8628,-122.317,1465158600,"ASSAULT/BATTERY MISD."
3835,37.8829,-122.289,1465236000,"ASSAULT/BATTERY MISD."
3836,37.8772,-122.302,1465332600,"ASSAULT/BATTERY MISD."
3837,37.8667,-122.259,1465368000,"ASSAULT/BATTERY MISD."
3838,37.854,-122.269,1465428600,"ASSAULT/BATTERY MISD."
3839,37.8736,-122.269,1465430100,"ASSAULT/BATTERY MISD."
3840,37.8521,-122.274,1465488000,"ASSAULT/BATTERY MISD."
3841,37.8648,-122.261,1465496520,"ASSAULT/BATTERY MISD."
3842,37.867,-122.266,1465599000,"ASSAULT/BATTERY FEL."
3843,37.8713,-122.275,1465620900,"ASSAULT/BATTERY FEL."
3844,37.8562,-122.269,1465850400,"ASSAULT/BATTERY MISD."
3845,37.869,-122.27,1465913880,"ASSAULT/BATTERY MISD."
3846,37.8736,-122.269,1466023200,"ASSAULT/BATTERY MISD."
3847,37.8688,-122.273,1466043600,"ASSAULT/BATTERY MISD."
3848,37.8532,-122.281,1466095980,"ASSAULT/BATTERY MISD."
3849,37.8542,-122.269,1466187600,"ASSAULT/BATTERY MISD."
3850,37.8691,-122.268,1466271900,"ASSAULT/BATTERY MISD."
3851,37.8652,-122.256,1466479200,"ASSAULT/BATTERY FEL."
3852,37.8694,-122.268,1466605980,"ASSAULT/BATTERY MISD."
3853,37.8709,-122.268,1466702280,"ASSAULT/BATTERY MISD."
3854,37.8872,-122.276,1466703180,"ASSAULT/BATTERY FEL."
3855,37.8545,-122.296,1466725200,"ASSAULT/BATTERY MISD."
3856,37.8576,-122.267,1466732760,"ASSAULT/BATTERY MISD."
3859,37.8802,-122.307,1451664000,"BURGLARY COMMERCIAL"
3860,37.8685,-122.259,1451694600,"BURGLARY COMMERCIAL"
3861,37.8729,-122.305,1451851200,"BURGLARY COMMERCIAL"
3862,37.8688,-122.292,1451888040,"BURGLARY COMMERCIAL"
3863,37.8602,-122.294,1452074400,"BURGLARY COMMERCIAL"
3864,37.8699,-122.301,1452087180,"BURGLARY COMMERCIAL"
3865,37.8691,-122.27,1452555300,"BURGLARY COMMERCIAL"
3866,37.8585,-122.293,1452591480,"BURGLARY COMMERCIAL"
3867,37.8717,-122.301,1452636900,"BURGLARY COMMERCIAL"
3868,37.8638,-122.281,1452838500,"BURGLARY COMMERCIAL"
3869,37.8729,-122.305,1452909600,"BURGLARY COMMERCIAL"
